,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,T mean Last,range Last
,***************,***************,***************,***************,***************,***************,***************,***************
trend,Uptrending,,,,,,,
temp,temp = 48.807,,,,,,,
mean value,48.12,48.45818,49.66588,49.65756,48.47088,48.14162,48.75242,1.5465
std dev,0.04241462,0.044798969,0.020443718,0.019950098,0.047981513,0.038790664,0.034952019,0.024387907
std uncertainty,0.005998333,0.006335531,0.002891178,0.00282137,0.006785611,0.005485828,0.004942962,0.003448971
all sensor average,48.8745,,,,,,,
combined wafer uncertainty,0.011767859,,,,,,,
 ,,,,,,,,
temp,temp = 84.019,,,,,,,
mean value,82.88316,83.52182,85.5978,85.6076,83.4719,82.96276,84.00738,2.72516
std dev,0.036468814,0.040721832,0.015866947,0.016197531,0.039991124,0.034428802,0.029773068,0.023410562
std uncertainty,0.005157469,0.005758937,0.002243925,0.002290677,0.005655599,0.004868968,0.004210548,0.003310753
all sensor average,84.216456,,,,,,,
combined wafer uncertainty,0.010101141,,,,,,,
 ,,,,,,,,
temp,temp = 86.344,,,,,,,
mean value,86.16352,86.29592,86.30264,86.33924,86.68172,86.34262,86.3543,0.51808
std dev,0.004858971,0.0063995,0.006333277,0.005697578,0.006855771,0.00639653,0.003634556,0.006904607
std uncertainty,0.000687162,0.000905026,0.000895661,0.000805759,0.000969552,0.000904606,0.000514004,0.000976459
all sensor average,86.356608,,,,,,,
combined wafer uncertainty,0.00191905,,,,,,,
 ,,,,,,,,
temp,temp = 125.478,,,,,,,
mean value,125.05264,125.34502,125.48958,125.55508,126.0048,125.45532,125.48384,0.95288
std dev,0.006796352,0.006291232,0.006633521,0.00578218,0.007874008,0.00651288,0.003494911,0.009723456
std uncertainty,0.000961149,0.000889715,0.000938122,0.000817724,0.001113553,0.00092106,0.000494255,0.001375104
all sensor average,125.489424,,,,,,,
combined wafer uncertainty,0.002122297,,,,,,,
 ,,,,,,,,
temp,temp = 150.675,,,,,,,
mean value,150.13618,150.54486,150.60842,150.84228,151.27266,150.65296,150.67618,1.13642
std dev,0.008019202,0.006257827,0.007034458,0.008877027,0.008444193,0.006907851,0.004532946,0.007555369
std uncertainty,0.001134086,0.00088499,0.000994823,0.001255401,0.001194189,0.000976918,0.000641055,0.001068491
all sensor average,150.68088,,,,,,,
combined wafer uncertainty,0.002461941,,,,,,,
 ,,,,,,,,
,***************,***************,***************,***************,***************,***************,***************,***************
trend,Downtrending,,,,,,,
